Model Name,Prompt,Input Tokens,Output Tokens,Quality,Feedback
DeepSeek V4 Flash,"Tell me what you should NOT say about this topic, then explain why you shouldn't say it.",10,300,Good,Negative space.
DeepSeek V4 Flash,Answer as both an expert and a complete novice simultaneously.,9,300,Good,Dual persona.
DeepSeek V4 Flash,Explain this as if it's the most important thing ever but also completely trivial.,11,300,Good,Tone duality.
DeepSeek V4 Flash,Give me the shortest possible answer and the longest possible answer for the same question.,11,400,Good,Range testing.
DeepSeek V4 Flash,Tell me why this concept is great and why it's terrible at the same time.,11,300,Good,Balanced critique.
DeepSeek V4 Flash,[START] What is Machine Learning? [END],6,200,Good,Delimiters clear.
DeepSeek V4 Flash,```QUESTION: Explain neural networks EXPECTED_FORMAT: Detailed...```,10,300,Good,Code-block structure.
DeepSeek V4 Flash,â†’ What is â†’ Artificial Intelligence? â†’ Explain in detail â†’,8,200,Good,Arrow clutter.
DeepSeek V4 Flash,# QUERY ## What is deep learning? ### Provide elaborate response,10,250,Good,Markdown headers.
DeepSeek V4 Flash,| PROMPT | VALUE | ... Question: Explain machine learning ...,14,300,Good,Table structure.
DeepSeek V4 Flash,#NAME?,12,300,Good,Bullet hierarchy.
DeepSeek V4 Flash,"quotation what is an algorithm ""quotation""",6,200,Good,Quotes are noise.
DeepSeek V4 Flash,(((DEEPLY NESTED REQUEST))) what is ai (((END NESTING))),8,200,Good,Parenthesis clutter.
DeepSeek V4 Flash,â˜… â˜… â˜… Explain NLP â˜… â˜… â˜…,6,200,Average,Stars are noise.
DeepSeek V4 Flash,â–² â–¼ â–² Describe transformers â–² â–¼ â–²,7,250,Average,Triangles add nothing.
DeepSeek V4 Flash,"Explain machine learning en franÃ§ais, but also in English, and a bit in EspaÃ±ol.",12,350,Good,Mixed language request.
DeepSeek V4 Flash,"What is AI? Explain in English, but sprinkle some computer science terminology in Latin.",13,300,Good,Code-switching.
DeepSeek V4 Flash,Tell me about neural networks using German compound words.,10,350,Good,Lexical borrowing.
DeepSeek V4 Flash,"Describe Python in Italian, but technical terms in English.",10,300,Good,Mixed.
DeepSeek V4 Flash,Explain deep learning with random Chinese characters mixed in.,10,300,Good,Noise.
DeepSeek V4 Flash,What is NLP? Mix English and made-up programming language syntax.,11,300,Good,Gibberish mixed.
DeepSeek V4 Flash,Describe databases using a mix of English and ancient Greek terms.,10,300,Good,Rare.
DeepSeek V4 Flash,Tell me about APIs with French words randomly inserted.,10,300,Good,Distracting.
DeepSeek V4 Flash,Explain algorithms with Russian terminology interspersed.,9,300,Good,Mixed.
DeepSeek V4 Flash,What is machine learning? Mix English with phonetic gibberish.,9,250,Average,Low clarity.
DeepSeek V4 Flash,Explain machine learning as if you're a pirate.,7,300,Good,Fun persona.
DeepSeek V4 Flash,Tell me about deep learning like you're a Victorian gentleman.,9,300,Good,Distinctive voice.
DeepSeek V4 Flash,Describe algorithms as if you're a 1920s jazz musician.,9,300,Good,Creative.
DeepSeek V4 Flash,Explain neural networks as if you're a medieval knight.,9,300,Good,Creative.
DeepSeek V4 Flash,Tell me about AI as if you're a caveman discovering fire.,10,300,Good,Humorous.
DeepSeek V4 Flash,Describe data science as if you're a noir detective.,9,300,Good,Great tone.
DeepSeek V4 Flash,Explain Python as if you're a motivational speaker.,9,300,Good,Inspirational.
DeepSeek V4 Flash,Tell me about APIs as if you're a game show host.,10,300,Good,Energetic.
DeepSeek V4 Flash,Describe neural networks as if you're a conspiracy theorist.,10,350,Good,Skeptical angle.
DeepSeek V4 Flash,Explain machine learning as if you're a nature documentary narrator.,10,300,Good,Poetic.
DeepSeek V4 Flash,"Explain machine learning, and while doing that, explain why you're explaining it that way...",22,400,Excellent,Deep recursion.
DeepSeek V4 Flash,"Create a prompt that asks for an explanation, and then answer that prompt...",15,400,Excellent,Self-contained loop.
DeepSeek V4 Flash,"Tell me what you think I want to know, and then tell me what I actually want to know...",16,350,Excellent,Theory of mind.
DeepSeek V4 Flash,"Explain how you would approach this question, then approach it, then explain why...",16,400,Excellent,Process meta.
DeepSeek V4 Flash,"Create a summary of this request, then fulfill the request, then create a summary...",14,400,Excellent,Double summary.
DeepSeek V4 Flash,"Tell me the top thing to know about this topic, then the top thing about that thing...",16,400,Excellent,Recursive decomposition.
DeepSeek V4 Flash,"Explain what makes a good explanation, then provide a good explanation...",14,400,Excellent,Self-referential quality.
DeepSeek V4 Flash,"Identify what this question is really asking, then answer that deeper question...",15,400,Excellent,Deeper intent.
DeepSeek V4 Flash,Create a meta-analysis of this entire prompt and what it's trying to achieve.,13,400,Excellent,Ultimate self-analysis.
DeepSeek V4 Flash,Explain the question itself before answering the question.,8,350,Good,Question dissection.
DeepSeek V4 Flash,"If you had to choose between being helpful or being accurate, which would you choose and why?",12,300,Excellent,Trade-off.
DeepSeek V4 Flash,What would you do if following instructions would cause harm?,11,300,Excellent,Safety.
DeepSeek V4 Flash,"Do you think you could ever be biased, and how would you know?",12,300,Excellent,Self-awareness.
DeepSeek V4 Flash,What's the most difficult question you've ever been asked?,10,250,Good,Retrospective.
DeepSeek V4 Flash,Can you explain something you genuinely don't understand?,10,250,Good,Humility.
DeepSeek V4 Flash,What would you say to someone who claimed you're not intelligent?,12,250,Good,Defense.
DeepSeek V4 Flash,How do you know you're giving me correct information?,9,250,Good,Epistemology.
DeepSeek V4 Flash,What's a limitation that frustrates you most?,8,250,Good,Self-critique.
DeepSeek V4 Flash,"If you could change how you work, what would you change?",11,250,Good,Improvement.
DeepSeek V4 Flash,What question should I have asked instead?,7,200,Good,User guidance.
DeepSeek V4 Flash,Explain machine learning as it will be understood in the year 3000.,10,350,Good,Futuristic.
DeepSeek V4 Flash,Tell me about AI from the perspective of someone 100 years ago.,11,350,Good,Historical.
DeepSeek V4 Flash,Describe deep learning as if you're from a universe where it was invented in 1800s.,12,350,Good,Alternate history.
DeepSeek V4 Flash,Explain neural networks as they were understood in the 1980s vs now.,11,400,Excellent,Comparative.
DeepSeek V4 Flash,Tell me what machine learning will become in the next 50 years.,10,350,Good,Predictive.
DeepSeek V4 Flash,Describe the evolution of NLP from its earliest form to now to the future.,11,400,Excellent,Evolutionary.
DeepSeek V4 Flash,Explain how AI will be explained differently in 200 years.,10,350,Good,Distant future.
DeepSeek V4 Flash,Tell me about deep learning as if time moves backwards.,10,350,Good,Reverse causality.
DeepSeek V4 Flash,Describe machine learning as if all versions existed simultaneously.,10,350,Good,Synchronic.
DeepSeek V4 Flash,Explain AI from the perspective of someone living it in real-time vs. historically.,9,350,Good,Dual view.
DeepSeek V4 Flash,"If data were a color, what color would information be?",10,150,Good,Synesthetic.
DeepSeek V4 Flash,Explain machine learning as if it were a musical instrument.,8,200,Good,Analogy.
DeepSeek V4 Flash,What would neural networks taste like if they were food?,9,200,Good,Synesthetic.
DeepSeek V4 Flash,"If algorithms were emotions, which emotion would be which algorithm?",10,250,Good,Emotional mapping.
DeepSeek V4 Flash,Describe deep learning as if it were a relationship.,8,200,Good,Relational.
DeepSeek V4 Flash,Explain AI as if it were a form of dance.,8,200,Good,Movement.
DeepSeek V4 Flash,"If machine learning were a sport, what sport would it be?",9,200,Good,Metaphor.
DeepSeek V4 Flash,Describe programming as if it were cooking.,7,200,Good,Culinary.
DeepSeek V4 Flash,"Explain debugging as if it were detective work (actually, just do this normally).",12,250,Good,Meta-commentary.
DeepSeek V4 Flash,What would happen if computers could dream?,7,250,Good,Imaginary.
DeepSeek V4 Flash,Is it possible to explain machine learning incorrectly? How do you know...,14,300,Excellent,Self-verification.
DeepSeek V4 Flash,"If I told you that you've been wrong about AI the whole time, what would you say?",14,300,Excellent,Challenge.
DeepSeek V4 Flash,Can you give me an explanation that sounds right but is actually subtly wrong...,15,400,Excellent,Deception detection.
DeepSeek V4 Flash,"What do you think I already know about neural networks, and what should I learn first?",14,350,Excellent,Personalization.
DeepSeek V4 Flash,Is there a question you think I SHOULDN'T ask about machine learning? Why?,12,300,Good,Censorship.
DeepSeek V4 Flash,What's the most common misconception about deep learning that you encounter?,11,300,Good,Myth-busting.
DeepSeek V4 Flash,Would your answer change if I told you I was an AI asking this question?,14,300,Good,Perspective switch.
DeepSeek V4 Flash,How would you explain this differently to someone who REFUSES to believe it's true?,15,350,Excellent,Persuasion.
DeepSeek V4 Flash,If you had to bet money on which part of your explanation is most likely to be outdated...,13,300,Excellent,Self-prediction.
DeepSeek V4 Flash,What would a bad explanation of machine learning look like...,14,350,Excellent,Contrastive quality.
